Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
80,,10,5819,17731,43,58
80,,10,1608,14148,43,58
80,,10,4894,12820,37,64
80,,10,501,11385,39,62
80,,10,549,8063,42,59
80,,10,4539,13467,40,61
80,,10,1315,5769,46,55
80,,10,1925,7606,44,57
80,,10,4996,25992,33,69
80,,10,7080,12719,43,58
80,,10,11949,17299,36,65
80,,10,578,11364,45,56
80,,10,1159,9273,40,61
80,,10,851,14204,36,65
80,,10,5031,10720,46,56
80,,10,2047,11016,35,66
80,,10,2615,13811,41,60
80,,10,3811,15918,36,65
80,,10,3028,16214,36,65
80,,10,4701,17947,40,61
80,,10,8716,16006,36,65
80,,10,3735,12896,37,64
80,,10,11603,16450,36,66
80,,10,12403,19328,36,65
80,,10,673,15341,41,61
80,,10,2348,9383,45,56
80,,10,1242,15047,32,69
80,,10,3238,9514,43,58
80,,10,1889,7650,46,55
80,,10,1025,13837,36,65
80,,10,2031,7158,40,61
80,,10,11011,17509,32,69
80,,10,935,9895,38,64
80,,10,599,12253,39,62
80,,10,7477,11975,36,65
80,,10,12200,14243,32,70
80,,10,1916,16506,37,64
80,,10,3249,9806,38,64
80,,10,1098,12080,41,60
80,,10,5918,14426,38,64
80,,10,6879,17753,38,65
80,,10,10614,12131,40,63
80,,10,6221,9336,42,62
80,,10,881,12008,45,56
80,,10,714,11210,46,55
80,,10,513,9151,43,58
80,,10,14230,24942,31,70
80,,10,9816,20141,32,70
80,,10,12893,16374,44,57
80,,10,9524,14290,43,58
80,,10,13709,17182,36,67
80,,10,11867,19754,36,67
80,,10,2403,16787,37,64
80,,10,12776,29124,32,70
80,,10,1489,13043,46,56
80,,10,1263,5017,49,52
80,,10,2571,11812,39,62
80,,10,1110,7329,38,63
80,,10,1828,11179,43,58
80,,10,5653,8429,42,59
80,,10,18897,29949,32,70
80,,10,2697,12636,40,61
80,,10,8237,13839,36,67
80,,10,5273,9402,45,57
80,,10,2114,11349,39,62
80,,10,8145,14590,35,66
80,,10,803,12015,40,61
80,,10,3353,8607,43,58
80,,10,1494,13975,47,54
80,,10,1406,7343,44,57
80,,10,600,14747,41,61
80,,10,765,11872,41,60
80,,10,5080,11940,41,60
80,,10,3230,16803,40,62
80,,10,2118,5329,42,60
80,,10,8592,15420,31,70
80,,10,9554,12589,34,67
80,,10,3220,9216,53,48
80,,10,644,5715,51,50
80,,10,2844,12483,40,61
80,,10,11702,14023,35,66
80,,10,2032,10072,45,56
80,,10,1075,9157,39,62
80,,10,12327,13867,34,68
80,,10,1212,15661,43,58
80,,10,8319,14202,37,64
80,,10,3645,8313,42,60
80,,10,3535,11254,39,62
80,,10,11646,23413,34,69
80,,10,4023,6981,41,60
80,,10,4465,19274,31,71
80,,10,6127,11477,35,66
80,,10,1382,10857,39,62
80,,10,2327,7287,46,55
80,,10,4985,16478,36,66
80,,10,843,13723,42,59
80,,10,2818,6167,42,59
,,,,,,
AVERAGE,,,,,,
80,,10,4750.3608247423,13173.0515463918,39.5567010309,61.8041237113
