Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,5,285680,290317,38,64
8,,5,282771,293199,40,61
8,,5,278508,281400,42,60
8,,5,274101,300943,42,60
8,,5,273308,280265,42,59
8,,5,273133,274692,41,60
8,,5,272468,281707,41,60
8,,5,270594,275970,41,60
8,,5,270358,272112,38,64
8,,5,269756,272545,44,58
8,,5,269704,271172,45,56
8,,5,267980,270693,44,57
8,,5,267901,271687,40,61
8,,5,266425,273722,42,59
8,,5,265991,271041,47,54
8,,5,265928,269228,43,58
8,,5,264537,270078,44,59
8,,5,263570,270111,43,59
8,,5,262758,264444,44,57
8,,5,262694,266928,37,64
8,,5,262557,272412,43,58
8,,5,262374,269051,41,61
8,,5,261974,269049,43,58
8,,5,261963,263602,45,56
8,,5,261877,263072,44,57
8,,5,261421,265774,42,59
8,,5,261233,267892,42,59
8,,5,261194,268536,44,57
8,,5,261138,262376,43,58
8,,5,260586,279401,42,59
8,,5,259990,271711,41,61
8,,5,259430,264101,44,57
8,,5,258568,268207,43,58
8,,5,258160,261557,45,56
8,,5,258044,265862,44,57
8,,5,257852,266866,44,57
8,,5,257817,259650,48,55
8,,5,257687,276413,47,55
8,,5,257609,262074,47,55
8,,5,256867,261265,46,55
8,,5,256739,275041,44,57
8,,5,256589,275348,45,57
8,,5,255887,259755,47,56
8,,5,255660,271066,47,54
8,,5,255474,264598,48,54
8,,5,255146,283821,44,57
8,,5,254852,269087,45,58
8,,5,254634,260306,47,55
8,,5,254235,256440,45,57
8,,5,254124,257836,52,49
8,,5,254116,256589,47,54
8,,5,253873,257258,46,56
8,,5,253817,257111,48,54
8,,5,253779,259628,48,53
8,,5,253592,259719,47,54
8,,5,253049,255065,48,53
8,,5,253026,254155,50,51
8,,5,252885,254926,48,53
8,,5,252591,266422,47,54
8,,5,252519,264704,43,58
8,,5,252411,281486,44,57
8,,5,252382,261886,48,53
8,,5,252302,253769,49,53
8,,5,252068,264454,44,58
8,,5,251159,264251,50,52
8,,5,251157,261972,48,53
8,,5,251051,254501,48,53
8,,5,250924,258163,49,52
8,,5,250847,252824,45,56
8,,5,250841,255438,43,58
8,,5,250493,270500,45,57
8,,5,250446,250959,48,53
8,,5,250423,251279,48,53
8,,5,250406,253617,47,54
8,,5,250367,262413,48,53
8,,5,250215,292608,49,53
8,,5,250125,254804,45,57
8,,5,250049,266569,49,52
8,,5,249859,255617,50,51
8,,5,249773,250307,47,55
8,,5,249314,252051,51,51
8,,5,249290,265576,46,56
8,,5,249267,252702,48,54
8,,5,249225,252720,45,56
8,,5,249205,260772,43,59
8,,5,249198,252134,48,54
8,,5,248772,254469,45,56
8,,5,248725,266372,46,55
8,,5,248589,254882,47,55
8,,5,248526,250211,46,55
8,,5,248522,255116,47,55
8,,5,248333,252051,48,54
8,,5,248314,250971,50,52
8,,5,247956,252022,46,56
8,,5,247615,259297,47,55
8,,5,247407,247964,51,51
8,,5,247141,252647,46,55
8,,5,247021,247679,54,48
8,,5,246888,249384,52,50
8,,5,246743,249650,46,55
8,,5,246470,255636,43,58
8,,5,246441,249634,46,56
8,,5,246404,257619,49,52
8,,5,246396,247788,51,51
8,,5,245887,248210,47,54
8,,5,245682,251098,47,54
8,,5,245590,249935,50,51
8,,5,245379,248926,46,55
8,,5,245337,250169,45,57
8,,5,245237,247711,54,47
8,,5,245237,246467,47,54
8,,5,245158,253760,46,56
8,,5,244844,256566,45,56
8,,5,244703,247515,51,51
8,,5,244485,248168,50,51
8,,5,244452,245472,47,54
8,,5,244285,249783,47,54
8,,5,243872,263053,48,53
8,,5,243795,251797,49,53
8,,5,243650,281681,51,50
8,,5,243571,250264,49,52
8,,5,243394,250985,54,47
8,,5,243342,258996,51,50
8,,5,242904,243767,53,48
8,,5,242707,245068,54,47
8,,5,242548,247076,51,50
8,,5,242154,242931,48,53
8,,5,242151,242952,48,53
8,,5,242056,245423,50,51
8,,5,242017,249342,48,53
8,,5,241888,244445,46,56
8,,5,241771,265539,48,53
8,,5,241518,254158,49,52
8,,5,241415,249929,52,49
8,,5,241241,265798,52,49
8,,5,241230,246562,51,50
8,,5,241182,245966,50,53
8,,5,241007,261441,47,55
8,,5,240952,240998,57,45
8,,5,240806,248779,51,51
8,,5,240251,242050,51,51
8,,5,240218,245800,50,51
8,,5,240000,241937,44,57
8,,5,239926,250012,50,53
8,,5,239327,246554,52,49
8,,5,239293,252830,51,51
8,,5,238671,239322,49,52
8,,5,238166,247852,51,50
8,,5,237964,248747,47,55
8,,5,237653,243217,52,49
8,,5,237509,238377,52,49
8,,5,237394,251715,51,50
8,,5,237337,242921,55,47
8,,5,236793,241232,44,57
8,,5,236637,237218,52,51
8,,5,236455,262620,51,50
8,,5,235854,254679,55,46
8,,5,235248,277242,49,53
8,,5,235179,241145,49,52
8,,5,235004,245914,51,50
8,,5,234502,239483,49,52
8,,5,234379,241823,49,52
8,,5,234348,237260,50,51
8,,5,232964,239692,50,51
8,,5,230781,250576,52,49
8,,5,230679,243885,48,54
8,,5,230264,233437,56,45
8,,5,229809,236121,48,53
8,,5,229730,248756,51,51
8,,5,229641,238576,50,51
8,,5,229543,248906,50,51
8,,5,229377,234212,54,48
8,,5,228307,228866,49,52
8,,5,226421,228207,47,54
8,,5,225896,243233,54,47
8,,5,224821,244870,56,45
8,,5,223627,230669,54,47
8,,5,221859,223633,52,49
8,,5,215661,218125,55,46
8,,5,214998,216417,55,46
8,,5,214936,220360,58,43
,,,,,,
AVERAGE,,,,,,
8,,5,248326.08839779,256165.662983425,47.5635359116,53.817679558
