Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
5,100,762,3320804,21821868,2088,2915
5,100,860,3888167,22184868,1972,3030
5,100,763,3346981,22218332,1989,3012
5,100,775,3438648,22087903,1989,3013
5,100,765,3463834,22074265,2038,2964
5,100,780,3412838,21993429,2005,2996
5,100,777,3351090,22204955,1996,3005
5,100,776,3381249,22070460,2015,2988
5,100,757,3250959,22004610,2048,2954
5,100,821,3634916,21879448,2069,2934
5,100,827,3705985,22077804,2036,2967
5,100,804,3563626,22345341,1929,3072
5,100,838,3780703,22119784,1987,3014
5,100,741,3154974,21998987,1992,3012
5,100,818,3669179,22411111,1945,3056
5,100,807,3568850,22372909,1974,3027
5,100,817,3641328,22152595,2030,2971
5,100,713,3066017,22176841,2011,2991
5,100,825,3649309,22326452,1970,3032
5,100,813,3538311,22151094,1962,3040
5,100,858,3831307,22430681,1928,3076
5,100,824,3660292,22344956,1949,3052
5,100,827,3699985,22250513,1965,3036
5,100,775,3403147,22174634,2000,3001
5,100,849,3781770,22216737,1951,3051
5,100,773,3369732,22131674,1983,3018
5,100,806,3554661,21939677,2043,2959
5,100,802,3589454,22230106,1993,3009
5,100,771,3374098,22195360,1979,3022
5,100,762,3370351,22109652,2030,2972
5,100,770,3246180,22020888,2032,2972
5,100,822,3632815,21956744,2007,2994
5,100,808,3584929,22160150,1991,3011
5,100,797,3416428,21942519,2047,2955
5,100,816,3535465,22459218,1955,3046
5,100,828,3688641,22327135,1964,3037
5,100,796,3535633,22078838,2029,2973
5,100,687,2912307,21972743,2025,2976
5,100,811,3655355,22320226,1972,3029
5,100,754,3289442,22444644,1945,3056
5,100,812,3530280,21876955,2053,2950
5,100,737,3248280,22171784,1990,3012
5,100,793,3518044,22534160,1932,3069
5,100,841,3822519,22016536,2013,2988
5,100,778,3450107,22136554,2026,2975
5,100,799,3612657,22221357,1982,3019
5,100,748,3260996,22259229,1979,3022
5,100,764,3297322,22128758,2022,2980
5,100,803,3542743,22029837,2069,2933
5,100,784,3504817,22104537,1995,3008
5,100,834,3648842,21908925,2013,2988
5,100,791,3611462,22395119,1926,3075
5,100,722,3209419,22148840,2012,2989
5,100,798,3634621,22123152,2001,3000
5,100,784,3485091,22093839,2006,2995
5,100,761,3376822,22241609,2022,2979
5,100,762,3394078,22171016,2010,2991
5,100,786,3491386,21993080,1993,3009
5,100,758,3361506,22222572,1965,3038
5,100,761,3263509,21672864,2083,2918
5,100,794,3545809,22043910,2013,2988
5,100,779,3506384,22035086,2021,2982
5,100,685,2967186,22170086,1996,3005
5,100,727,3245858,22245035,1992,3009
5,100,792,3567133,22069766,2016,2986
5,100,764,3300765,22146379,2013,2988
5,100,771,3388498,21754285,2073,2928
5,100,816,3660326,22090490,2007,2994
5,100,750,3204681,22101702,1981,3020
5,100,769,3425402,22049650,2037,2964
5,100,693,2868601,22002175,1997,3004
5,100,774,3468969,22395109,1955,3046
5,100,799,3557203,22257650,1988,3014
5,100,723,3094286,21945695,2028,2973
5,100,796,3494426,22239971,1986,3017
5,100,742,3215874,21914798,2032,2969
5,100,730,3187362,22033345,2032,2970
5,100,761,3361821,22036667,2029,2972
5,100,768,3322670,22246974,1980,3022
5,100,760,3398400,22004988,2040,2961
5,100,714,3154740,22263527,1953,3048
5,100,747,3223547,22006487,2022,2980
5,100,789,3440987,22009308,2018,2986
5,100,728,3117132,22085352,2022,2979
5,100,760,3396557,22149818,2013,2989
5,100,712,3016771,21839276,2064,2937
5,100,767,3399032,22136365,1981,3020
5,100,786,3530988,22236045,1968,3033
5,100,734,3192652,21813157,2063,2943
5,100,721,3120262,21933340,2037,2964
5,100,772,3409196,22276038,1986,3015
5,100,779,3422015,22224844,1978,3023
5,100,753,3317139,22120599,1998,3005
5,100,806,3580639,22274211,1972,3030
5,100,764,3358296,22257593,1999,3002
5,100,740,3259316,22136958,1949,3052
5,100,809,3723307,22338507,1973,3028
5,100,771,3426666,22399295,1977,3024
5,100,777,3468388,22251690,1912,3089
5,100,758,3347652,22036800,2007,2994
,,,,,,
5,100,777.71,3429111.97,22134038.45,2000.33,3001.29
