Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
80,,100,178406,1373354,1973,3031
80,,100,178547,1373148,2010,2992
80,,100,176665,1362396,2022,2981
80,,100,196356,1364349,2015,2986
80,,100,208972,1375177,1962,3039
80,,100,190640,1362530,2013,2989
80,,100,191895,1389919,1959,3043
80,,100,192903,1374940,1973,3028
80,,100,183755,1372597,2009,2992
80,,100,193768,1357254,2063,2938
80,,100,185705,1367427,2007,2996
80,,100,194347,1372456,2003,2998
80,,100,187551,1369344,2040,2961
80,,100,200358,1384455,1972,3029
80,,100,188471,1370169,2015,2987
80,,100,187548,1383176,1959,3042
80,,100,190987,1365989,2013,2988
80,,100,191302,1382633,1983,3018
80,,100,186050,1378024,1964,3038
80,,100,189890,1373964,1996,3005
80,,100,204067,1385753,1973,3028
80,,100,203320,1376834,1999,3002
80,,100,198206,1362080,2010,2991
80,,100,184106,1356135,2038,2963
80,,100,191554,1345077,2084,2919
80,,100,194854,1373106,1982,3019
80,,100,203496,1366177,2002,2999
80,,100,200459,1377171,1998,3004
80,,100,192703,1376139,2017,2986
80,,100,211074,1368180,1984,3018
80,,100,196078,1381476,1981,3021
80,,100,193839,1401297,1912,3090
80,,100,210817,1373284,1991,3010
80,,100,197036,1371917,1968,3033
80,,100,191911,1373863,2016,2986
80,,100,195348,1350186,2075,2926
80,,100,190798,1364872,2018,2983
80,,100,195240,1381725,1951,3050
80,,100,210893,1360196,2040,2962
80,,100,224059,1380421,1945,3056
80,,100,207047,1379596,1998,3004
80,,100,197002,1365189,2005,2996
80,,100,191469,1368671,1995,3006
80,,100,222602,1372812,1968,3033
80,,100,193753,1369660,2021,2980
80,,100,194806,1375635,1960,3042
80,,100,198026,1361912,2039,2962
80,,100,199333,1379595,1960,3042
80,,100,197502,1360184,2052,2949
80,,100,212735,1383040,1962,3039
80,,100,201641,1378764,1968,3033
80,,100,199667,1372878,2002,3001
80,,100,206707,1361617,2020,2982
80,,100,206707,1361617,2020,2982
80,,100,208052,1368503,2001,3001
80,,100,203519,1369307,2042,2962
80,,100,192249,1365737,2012,2990
80,,100,194766,1351273,2034,2967
80,,100,193197,1362415,2031,2970
80,,100,202093,1369867,1971,3030
80,,100,211495,1367371,2013,2990
80,,100,210000,1371646,1996,3005
80,,100,186659,1368700,2002,3000
80,,100,205826,1377747,1980,3021
80,,100,215765,1378114,1992,3009
80,,100,191655,1372142,2001,3000
80,,100,205979,1361110,2042,2961
80,,100,210291,1372863,2011,2990
80,,100,202575,1358825,2044,2958
80,,100,200187,1369748,1992,3011
80,,100,212726,1380120,1980,3022
80,,100,211196,1366352,2015,2987
80,,100,213943,1374157,1997,3004
80,,100,205663,1383567,1952,3051
80,,100,199569,1360598,2049,2955
80,,100,217753,1381651,1938,3064
80,,100,214213,1386943,1963,3038
80,,100,224416,1370936,2013,2989
80,,100,208044,1378464,1979,3023
80,,100,203836,1365736,2032,2969
80,,100,206563,1387850,1952,3049
80,,100,210713,1378335,1987,3014
80,,100,226718,1372690,1985,3016
80,,100,205953,1366093,2002,3000
80,,100,229374,1381026,1955,3047
80,,100,200483,1358513,2039,2962
80,,100,222215,1373565,1991,3011
80,,100,210000,1370124,1984,3019
80,,100,218548,1363273,2047,2956
80,,100,219721,1370135,1986,3016
80,,100,206513,1380625,1945,3057
80,,100,226582,1373898,1981,3020
80,,100,220939,1379263,1988,3014
80,,100,231780,1372011,1974,3028
80,,100,221297,1366804,1999,3003
80,,100,219389,1352765,2046,2956
80,,100,234310,1374378,1990,3011
80,,100,220012,1352810,2035,2968
80,,100,249061,1375454,1998,3003
80,,100,194369,1379565,1963,3038
80,,100,190846,1362914,1982,3019
80,,100,181532,1356467,2032,2971
80,,100,232608,1368163,1994,3007
80,,100,248981,1379902,1980,3022
80,,100,192171,1367675,1982,3021
80,,100,207095,1368585,1993,3008
80,,100,209556,1370045,1997,3005
80,,100,207868,1363939,2017,2985
80,,100,212230,1376561,2015,2986
80,,100,221737,1375459,1982,3021
80,,100,210147,1361404,2000,3001
,,,,,,
,,,,,,
AVERAGE,,,,,,
80,,100,204035.576576577,1371031.91891892,1998.2702702703,3003.4144144144
