Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
1,,100,18633704,112036601,1934,3067
1,,100,15169648,109419724,2064,2937
1,,100,15838451,108578675,2081,2921
1,,100,15503692,110289394,2025,2977
1,,100,17245496,110215223,2034,2967
1,,100,17062363,111327079,1985,3019
1,,100,17072817,109751672,2052,2949
1,,100,18468133,109212037,2039,2963
1,,100,18393372,110595045,1993,3010
1,,100,18530534,110766765,1997,3004
1,,100,16465683,109979508,2007,2994
1,,100,16408021,110669913,1990,3013
1,,100,16825693,109648296,2040,2961
1,,100,17213961,111669508,1962,3042
1,,100,16979130,109908913,2018,2985
1,,100,16760093,110585960,2023,2978
1,,100,17854889,110521883,2022,2979
1,,100,18166380,111552097,1960,3043
1,,100,17527608,111094153,1978,3024
1,,100,19172756,109695988,2036,2965
1,,100,18328113,111243989,1946,3055
1,,100,16514510,110498370,2006,2997
1,,100,14376789,110163704,2041,2960
1,,100,15512468,109939057,2010,2991
1,,100,16880081,110173829,2016,2985
1,,100,18686347,110504513,2018,2983
1,,100,16281507,109524844,2049,2953
1,,100,17644137,109680669,2053,2949
1,,100,17018237,111336802,1963,3039
1,,100,18520010,111514557,1964,3037
1,,100,17129482,111309517,1978,3023
1,,100,17859667,110651016,1981,3020
1,,100,15657753,109651775,2024,2978
1,,100,18311498,111666425,1939,3062
1,,100,18475535,111657466,1966,3035
1,,100,19005162,109816261,2013,2988
1,,100,18196259,111919854,1951,3050
1,,100,19927419,111709372,1955,3046
1,,100,18455696,110799339,2016,2985
1,,100,18909018,112242922,1960,3041
1,,100,17988067,111113479,2001,3001
1,,100,16121840,111268936,1999,3002
1,,100,16568946,110288687,2023,2979
1,,100,16694343,109837808,2043,2958
1,,100,16475572,109781954,1996,3006
1,,100,17373623,110097472,2033,2969
1,,100,17489511,111043140,1971,3031
1,,100,18554030,111217029,1986,3016
1,,100,17974882,110489582,2030,2973
1,,100,19207811,111361297,1977,3025
1,,100,19709919,110842321,2001,3001
1,,100,16145379,110433155,1993,3008
1,,100,17073947,112387549,1970,3031
1,,100,16835786,110635050,1990,3011
1,,100,19619251,111319849,1997,3005
1,,100,15814796,110956991,1979,3022
1,,100,16563936,109401423,2062,2940
1,,100,17776201,110832787,2015,2987
1,,100,16235643,110608359,2003,2998
1,,100,18090329,110687694,2024,2977
1,,100,17787656,111510816,1975,3026
1,,100,15834719,109867308,2050,2951
1,,100,16994698,109173986,2039,2965
1,,100,19053595,110981980,1962,3039
1,,100,16733908,109983984,2051,2950
1,,100,15984604,110259838,2061,2942
1,,100,15709124,110880285,2032,2969
1,,100,17942210,111515019,1976,3025
1,,100,15350096,109767284,2059,2943
1,,100,17829747,109982673,2029,2973
1,,100,17112091,110016970,2018,2983
1,,100,17422833,110738688,1993,3008
1,,100,15465610,109977768,2058,2943
1,,100,16894860,111464067,1968,3033
1,,100,17960702,109914345,2063,2940
1,,100,18497627,111242032,1987,3014
1,,100,18060588,111479638,1955,3048
1,,100,16136788,109981845,2010,2992
1,,100,19353885,110319221,2021,2981
1,,100,17948199,111635126,1984,3018
1,,100,20146094,111854935,1953,3049
1,,100,17187785,110841144,2001,3000
1,,100,15857893,111896422,1938,3063
1,,100,16491289,110489542,2044,2958
1,,100,17541004,111598056,1957,3044
1,,100,18294529,111080831,1999,3002
1,,100,17321915,111355098,1971,3030
1,,100,17575157,110267214,1996,3005
1,,100,18479688,111060533,1984,3017
1,,100,16667050,109999032,2044,2959
1,,100,17707282,110206270,2032,2969
1,,100,16890904,109917074,2031,2970
1,,100,15571527,110417680,2040,2963
1,,100,16093687,110776795,2011,2990
1,,100,17376506,110327862,2013,2988
1,,100,18315239,111490602,1984,3018
1,,100,18539783,110585455,1999,3004
1,,100,18087845,110482671,2000,3001
1,,100,17709323,111284980,1962,3039
1,,100,18711507,110345508,2025,2977
1,,100,16376304,110312343,2013,2988
,,,,,,
AVERAGE,,,,,,
1,,100,17389225.4950495,110647625.712871,2004.6534653465,2996.9504950495
