Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,10,0,0,30000,0,10
8,10,0,0,2780379,374,606
8,10,0,0,2754238,379,601
8,10,0,0,2783230,372,615
8,10,0,0,2704924,402,589
8,10,0,0,2741684,394,601
8,10,0,0,2795960,367,622
8,10,0,0,2712258,397,593
8,10,0,0,2724413,405,594
8,10,0,0,2739025,383,602
8,10,0,0,2761223,372,618
8,10,0,0,2722762,390,593
8,10,0,0,2707159,393,598
8,10,0,0,2751550,394,604
8,10,0,0,2709277,397,591
8,10,0,0,2751895,365,611
8,10,0,0,2758340,393,598
8,10,0,0,2732756,383,599
8,10,0,0,2732511,416,586
8,10,0,0,2641618,401,587
8,10,0,0,2651039,411,574
8,10,0,0,2744492,384,596
8,10,0,0,2865332,375,622
8,10,0,0,2751853,386,606
8,10,0,0,2728657,409,590
8,10,0,0,2632758,421,569
8,10,0,0,2820642,377,620
8,10,0,0,2680580,419,579
8,10,0,0,2713119,412,587
8,10,0,0,2752704,394,593
8,10,0,0,2693754,401,593
8,10,0,0,2680047,417,586
8,10,0,0,2762819,400,603
8,10,0,0,2735447,412,587
8,10,0,0,2778438,405,596
8,10,0,0,2701631,402,589
8,10,0,0,2687583,425,576
8,10,0,0,2686990,407,581
8,10,0,0,2692040,415,577
8,10,0,0,2776893,393,600
8,10,994,2785207,2801744,394,607
8,10,994,2753215,2773353,397,604
8,10,995,2764673,2782588,395,606
8,10,995,2788998,2808658,384,617
8,10,995,2781286,2802516,393,608
8,10,995,2732048,2754083,413,588
8,10,995,2680207,2711724,414,587
8,10,996,2792243,2796543,382,619
8,10,996,2756297,2771381,395,606
8,10,996,2762905,2779519,391,611
8,10,996,2763178,2807773,394,607
8,10,996,2741588,2749966,404,597
8,10,996,2738654,2757960,412,589
8,10,996,2812212,2831432,396,606
8,10,996,2715992,2723212,425,576
8,10,996,2730224,2736994,394,608
8,10,996,2734291,2754158,413,588
8,10,996,2712564,2723623,409,593
8,10,996,2729674,2738246,403,598
8,10,996,2726244,2733599,413,588
8,10,996,2760429,2774035,401,600
8,10,996,2816898,2831403,380,621
8,10,996,2682845,2706421,434,567
8,10,996,2655279,2662947,431,570
8,10,996,2795748,2812828,403,598
8,10,996,2670871,2693349,428,573
8,10,996,2664828,2670468,433,568
8,10,996,2661942,2681290,427,574
8,10,997,2775257,2791719,384,617
8,10,997,2796845,2805744,399,603
8,10,997,2796133,2811966,387,614
8,10,997,2720103,2737319,400,601
8,10,997,2704689,2722792,418,585
8,10,997,2795140,2817789,388,613
8,10,997,2689335,2709171,418,584
8,10,997,2751558,2773719,394,608
8,10,997,2852961,2858517,368,633
8,10,997,2766841,2787172,393,608
8,10,997,2807577,2827985,394,607
8,10,997,2751143,2762483,399,602
8,10,997,2688287,2706762,409,592
8,10,997,2736285,2766830,422,579
8,10,997,2711792,2722482,414,587
8,10,997,2776146,2787619,382,619
8,10,997,2680473,2690759,412,590
8,10,997,2651783,2662562,430,571
8,10,997,2711900,2722017,407,594
8,10,997,2690490,2698426,434,567
8,10,997,2699356,2725411,416,585
8,10,997,2742368,2757560,411,590
8,10,998,2736120,2752601,402,599
8,10,998,2844861,2862163,363,639
8,10,998,2689683,2710428,415,586
8,10,998,2712366,2716347,411,590
8,10,998,2665252,2673546,413,589
8,10,998,2716256,2729038,411,590
8,10,998,2728185,2736172,406,595
8,10,998,2782288,2801934,389,613
8,10,998,2744526,2757747,408,593
8,10,998,2759831,2767206,390,612
8,10,998,2712089,2718983,412,590
8,10,998,2652316,2663061,435,567
8,10,998,2718129,2725816,409,592
8,10,998,2710320,2726127,412,591
8,10,998,2711212,2738536,413,588
8,10,998,2703555,2712926,419,582
8,10,998,2685854,2704634,418,584
8,10,998,2744180,2753992,416,586
8,10,998,2744071,2769789,421,581
8,10,998,2673296,2688493,425,577
8,10,999,2784318,2810641,384,617
8,10,999,2800012,2815174,373,629
8,10,999,2744243,2754273,399,603
8,10,999,2755162,2770911,399,604
8,10,999,2702163,2706304,416,586
8,10,999,2768638,2794962,390,612
8,10,999,2728917,2736730,404,598
8,10,999,2775352,2801601,383,620
8,10,999,2660994,2675443,424,579
8,10,999,2747684,2757653,398,603
8,10,999,2688407,2713090,418,583
8,10,999,2716641,2728115,418,584
8,10,999,2675786,2682937,424,578
8,10,1000,2780190,2785306,393,608
8,10,1000,2824439,2825970,386,616
8,10,1000,2723284,2745709,422,582
8,10,1000,2736679,2739363,404,597
8,10,1000,2778655,2796859,395,609
8,10,1000,2727103,2734761,425,577
8,10,1000,2744117,2760591,413,589
8,10,1000,2680813,2688990,420,582
8,10,1001,2847728,2852518,378,625
8,10,1001,2771523,2774364,385,617
8,10,1001,2707411,2729748,417,585
8,10,1001,2753021,2765212,410,594
8,10,1001,2762982,2778688,405,598
8,10,1001,2713436,2723535,412,591
8,10,1001,2777501,2788967,407,597
8,10,1001,2668272,2681180,449,554
8,10,1003,2769252,2773064,391,613
