Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,2,0,0,30000,0,10
8,2,0,0,30000,0,10
8,2,0,0,30000,0,10
8,2,0,0,30000,1,11
8,2,0,0,33099,4,13
8,2,0,0,43018,5,15
8,2,0,0,60000,7,16
8,2,0,0,48141,5,15
8,2,0,0,30000,2,12
8,2,0,0,60000,8,18
8,2,0,0,71825,9,19
8,2,0,0,84659,11,20
8,2,0,0,60000,10,19
8,2,0,0,50253,5,15
8,2,0,0,83435,11,21
8,2,0,0,60634,9,18
8,2,0,0,60000,8,16
8,2,0,0,60000,8,16
8,2,0,0,30000,2,12
8,2,0,0,45253,5,14
8,2,0,0,30000,2,12
8,2,0,0,60000,6,16
8,2,0,0,104575,16,25
8,2,0,0,74075,11,21
8,2,0,0,60000,9,17
8,2,0,0,65318,11,20
8,2,0,0,63131,9,18
8,2,0,0,85327,14,22
8,2,0,0,66893,10,20
8,2,0,0,74472,9,19
8,2,0,0,106331,16,25
8,2,0,0,122434,20,29
8,2,0,0,84872,13,21
8,2,0,0,124422,22,30
8,2,0,0,91417,14,24
8,2,0,0,91534,14,23
8,2,0,0,113425,19,28
8,2,0,0,60000,7,17
8,2,0,0,80318,12,21
8,2,0,0,145118,26,33
8,2,0,0,93915,17,26
8,2,0,0,99135,17,26
8,2,0,0,81177,12,21
8,2,0,0,85694,12,20
8,2,0,0,113803,16,26
8,2,0,0,132287,23,31
8,2,0,0,244939,51,54
8,2,0,0,30000,2,12
8,2,0,0,55461,4,14
8,2,0,0,60000,6,16
8,2,0,0,30000,0,10
8,2,0,0,60000,7,17
8,2,0,0,55560,5,15
8,2,0,0,30000,2,12
8,2,0,0,60000,6,16
8,2,0,0,65659,9,18
8,2,0,0,60000,6,16
8,2,0,0,30000,2,12
8,2,0,0,30000,2,12
8,2,0,0,60000,6,16
8,2,0,0,60000,7,16
8,2,0,0,74694,10,19
8,2,0,0,89448,10,20
8,2,0,0,75085,10,20
8,2,0,0,60000,8,18
8,2,0,0,60000,8,17
8,2,0,0,69021,9,19
8,2,0,0,90000,12,22
8,2,0,0,62068,10,17
8,2,0,0,90680,16,24
8,2,0,0,60000,8,17
8,2,0,0,60000,7,17
8,2,0,0,87685,12,22
8,2,0,0,66632,9,19
8,2,0,0,63691,10,19
8,2,0,0,90000,12,21
8,2,0,0,60505,8,18
8,2,0,0,60000,7,16
8,2,0,0,90000,14,23
8,2,0,0,87417,12,21
8,2,0,0,90000,12,22
8,2,0,0,103933,16,26
8,2,0,0,90000,12,22
8,2,0,0,98868,16,24
8,2,0,0,90500,14,23
8,2,0,0,90000,13,23
8,2,0,0,113182,18,27
8,2,0,0,96125,15,25
8,2,0,0,90000,13,23
8,2,0,0,92981,15,25
8,2,0,0,127724,20,29
8,2,0,0,120692,22,29
8,2,0,0,125889,22,30
8,2,0,0,158431,27,37
8,2,0,0,165475,27,34
8,2,0,0,195396,36,45
8,2,0,0,232724,42,51
8,2,0,0,186732,34,38
8,2,0,0,174560,31,40
8,2,0,0,195467,35,43
8,2,0,0,316190,63,63
,,,,,,
FAILURE AGAIN – COULD NOT CRAWL THE WHOLE NETWORK,,,,,,
8,2,0,0,85083.2079207921,12.6435643564,21.7326732673
