Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,8,0,0,2622475,380,574
8,8,0,0,2617516,361,587
8,8,0,0,2595409,358,579
8,8,0,0,2678570,380,588
8,8,0,0,2595778,375,575
8,8,0,0,2705707,353,602
8,8,0,0,2694210,365,590
8,8,0,0,2591250,400,559
8,8,0,0,2659597,386,582
8,8,0,0,2631957,350,592
8,8,0,0,2662341,363,597
8,8,0,0,2587876,410,560
8,8,0,0,2600722,396,561
8,8,0,0,2738028,390,595
8,8,0,0,2725189,390,581
8,8,0,0,2560304,403,559
8,8,0,0,2652899,374,588
8,8,0,0,2686294,367,594
8,8,0,0,2612789,398,568
8,8,0,0,2686962,380,586
8,8,0,0,2676488,382,584
8,8,0,0,2691519,383,584
8,8,0,0,2673839,390,581
8,8,0,0,2636675,416,567
8,8,0,0,2631658,370,581
8,8,0,0,2662170,379,593
8,8,0,0,2654179,379,581
8,8,0,0,2631414,378,567
8,8,0,0,2764321,373,608
8,8,0,0,2661409,371,588
8,8,0,0,2676428,390,588
8,8,0,0,2705547,383,576
8,8,0,0,2667752,382,587
8,8,0,0,2681123,399,579
8,8,0,0,2676258,387,583
8,8,0,0,2682854,386,588
8,8,0,0,2695649,395,580
8,8,0,0,2659527,388,574
8,8,0,0,2700536,387,596
8,8,0,0,2639129,383,587
8,8,0,0,2669476,371,590
8,8,0,0,30000,0,10
8,8,0,0,30000,0,10
8,8,0,0,30000,0,10
8,8,0,0,30000,0,10
8,8,0,0,2748851,349,621
8,8,0,0,2603377,377,569
8,8,0,0,2603972,391,573
8,8,0,0,2649610,350,593
8,8,0,0,2638492,368,581
8,8,0,0,2612870,399,562
8,8,0,0,2671336,367,591
8,8,0,0,2665726,370,584
8,8,0,0,2685857,367,593
8,8,0,0,2663582,376,576
8,8,0,0,2686794,366,595
8,8,0,0,2703347,378,584
8,8,0,0,2700446,376,590
8,8,0,0,2615917,396,569
8,8,0,0,2667201,386,574
8,8,0,0,2674553,381,587
8,8,0,0,2645354,371,585
8,8,0,0,2672149,383,587
8,8,0,0,2662191,371,585
8,8,0,0,2677498,376,589
8,8,0,0,2663733,372,589
8,8,0,0,2650285,386,580
8,8,997,2668052,2708457,417,585
8,8,0,0,2700831,374,589
8,8,0,0,2686074,391,578
8,8,0,0,2678220,395,573
8,8,0,0,2624387,391,573
8,8,0,0,2678646,372,596
8,8,0,0,2654903,400,571
8,8,0,0,2644130,411,572
8,8,0,0,2725674,382,598
8,8,0,0,2628590,395,575
8,8,0,0,2661486,403,582
8,8,0,0,2640996,402,558
8,8,0,0,2638426,409,566
8,8,0,0,2674646,392,578
8,8,999,2734186,2738419,409,592
8,8,0,0,2674461,405,575
8,8,0,0,2665440,411,570
8,8,0,0,2655964,404,578
8,8,0,0,2662974,374,577
8,8,0,0,2671972,368,598
8,8,0,0,2628872,352,587
8,8,0,0,2642889,383,580
8,8,0,0,2605951,400,561
8,8,0,0,2684912,359,597
8,8,0,0,2694637,387,588
8,8,0,0,2694838,377,590
8,8,0,0,2751739,391,596
8,8,0,0,2593224,427,543
8,8,0,0,2680160,367,589
8,8,0,0,2668678,386,582
8,8,0,0,2720912,367,593
8,8,0,0,2723745,367,603
8,8,0,0,2672993,368,592
8,8,0,0,2712886,384,584
8,8,0,0,2652053,368,585
8,8,998,2735746,2749453,403,599
8,8,0,0,2687818,410,579
8,8,0,0,2680251,392,583
8,8,0,0,2676163,390,576
8,8,0,0,2633261,411,565
8,8,0,0,2652522,400,576
8,8,0,0,2664902,383,582
8,8,0,0,2685998,381,587
8,8,0,0,2701279,406,574
8,8,0,0,2643663,419,562
8,8,0,0,2675168,401,580
8,8,0,0,2703984,405,594
8,8,0,0,2682588,385,581
8,8,0,0,2637418,401,575
8,8,0,0,2716370,397,587
8,8,0,0,2672432,379,583
8,8,1000,2747638,2750404,418,585
8,8,0,0,2625971,394,569
8,8,0,0,2630282,418,562
8,8,0,0,2673562,389,576
8,8,998,2702517,2718967,423,578
8,8,998,2767404,2785718,407,594
8,8,0,0,2645650,422,564
8,8,0,0,2686059,404,575
,,,,,,
,,,,,,
MAJORITY FAILURE – HOWEVER CLOSE TO FINDING THE WHOLE NETWORK,,,,,,
