Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,9,0,0,30000,0,10
8,9,0,0,30000,0,10
8,9,0,0,30000,0,10
8,9,0,0,2703269,379,596
8,9,0,0,2706207,361,598
8,9,0,0,2688597,393,585
8,9,0,0,2746063,380,603
8,9,0,0,2612326,402,582
8,9,0,0,2642246,390,581
8,9,0,0,2714282,365,614
8,9,0,0,2686030,382,588
8,9,0,0,2706970,400,586
8,9,0,0,2704099,378,599
8,9,0,0,2707517,390,595
8,9,0,0,2676600,413,571
8,9,0,0,2673889,389,586
8,9,0,0,2744479,388,598
8,9,0,0,2657711,385,584
8,9,0,0,2628451,393,575
8,9,0,0,2721634,425,575
8,9,0,0,2715804,389,592
8,9,0,0,2649920,393,588
8,9,0,0,2771179,386,607
8,9,0,0,2679829,395,585
8,9,0,0,2615720,406,567
8,9,0,0,2694046,396,588
8,9,0,0,2722025,394,583
8,9,0,0,2679303,399,578
8,9,0,0,2784294,384,604
8,9,0,0,2705151,392,584
8,9,0,0,2595330,450,540
8,9,0,0,2706570,416,584
8,9,0,0,2748715,405,597
8,9,0,0,2668642,418,574
8,9,0,0,2689814,407,578
8,9,0,0,2640015,423,568
8,9,0,0,2700121,403,593
8,9,0,0,2692811,395,590
8,9,0,0,2796964,376,611
8,9,0,0,2720454,379,613
8,9,0,0,2753937,360,617
8,9,0,0,2692917,396,591
8,9,0,0,2707582,383,594
8,9,0,0,2653461,391,573
8,9,0,0,2720844,395,591
8,9,0,0,2745254,367,611
8,9,0,0,2822636,380,620
8,9,0,0,2705947,379,593
8,9,0,0,2686461,378,595
8,9,0,0,2754821,380,603
8,9,0,0,2764893,375,609
8,9,0,0,2693982,404,586
8,9,0,0,2712112,391,594
8,9,0,0,2693857,388,591
8,9,0,0,2675805,399,583
8,9,0,0,2749102,377,606
8,9,0,0,2720467,402,587
8,9,0,0,2677622,379,589
8,9,0,0,2703985,398,590
8,9,0,0,2724075,384,593
8,9,0,0,2655504,396,581
8,9,0,0,2627744,413,560
8,9,0,0,2748509,402,597
8,9,0,0,2628210,415,571
8,9,0,0,2662373,411,574
8,9,0,0,2760682,382,599
8,9,0,0,2715852,410,590
8,9,0,0,2656819,428,560
8,9,0,0,2734509,406,594
8,9,997,2617487,2622895,424,577
8,9,998,2644825,2650415,432,569
8,9,996,2645251,2662216,426,575
8,9,999,2652684,2661355,431,570
8,9,997,2655223,2667822,428,573
8,9,998,2664578,2670382,428,573
8,9,997,2666000,2674038,423,578
8,9,1000,2669179,2694949,426,577
8,9,996,2672090,2706239,429,572
8,9,997,2672138,2684886,421,581
8,9,999,2676555,2697948,423,580
8,9,997,2690187,2712061,422,579
8,9,1001,2693515,2714441,414,590
8,9,998,2713079,2721638,405,596
8,9,998,2715349,2738124,424,578
8,9,998,2715583,2735793,422,580
8,9,1001,2716151,2718931,407,595
8,9,999,2719851,2727598,406,596
8,9,1001,2725787,2728974,408,594
8,9,997,2725791,2748456,411,591
8,9,998,2728401,2743877,412,590
8,9,999,2728960,2740304,419,583
8,9,996,2731957,2745808,415,586
8,9,996,2735556,2762123,397,604
8,9,997,2736031,2745798,397,604
8,9,998,2736428,2751261,410,591
8,9,997,2737579,2752955,400,601
8,9,999,2747553,2766909,395,607
8,9,996,2748374,2758960,410,592
8,9,997,2749667,2768500,408,593
8,9,998,2749680,2769476,407,596
8,9,998,2754936,2768520,421,580
8,9,999,2756999,2762907,398,604
8,9,999,2762947,2767475,410,592
8,9,997,2766103,2772085,403,598
8,9,997,2767670,2791751,377,625
8,9,999,2768140,2799641,413,589
8,9,1000,2768923,2769430,394,607
8,9,999,2781431,2792054,390,611
8,9,997,2786049,2800383,396,606
8,9,1001,2807016,2819298,378,625
8,9,1002,2839707,2851989,381,622
,,,,,,
63% FAILURE RATE FINDING ALL THE NODES,,,,,,
8,9,998.1666666667,2722414.52380952,2736682.5,410.5,591.1904761905
