Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,10,0,0,27164393,3902,5897
8,10,0,0,27131184,3880,5906
8,10,0,0,27166848,3945,5892
8,10,0,0,27058528,3896,5878
8,10,0,0,27220108,3907,5905
8,10,0,0,27102455,3942,5885
8,10,0,0,27166458,3956,5879
8,10,0,0,27136316,3979,5851
8,10,0,0,27220594,4004,5878
8,10,0,0,27033482,3990,5846
8,10,0,0,27113559,4060,5822
8,10,0,0,26996417,3986,5832
8,10,0,0,27124101,3902,5894
8,10,0,0,27369383,3860,5964
8,10,0,0,27093955,3907,5892
8,10,0,0,27097937,4002,5849
8,10,0,0,26907355,4065,5792
8,10,0,0,27182826,3925,5889
8,10,0,0,26955380,3965,5840
8,10,0,0,27321682,3880,5955
8,10,0,0,27343117,3882,5928
8,10,0,0,27072770,4011,5852
8,10,0,0,27363526,3963,5933
8,10,0,0,27160868,3905,5907
8,10,0,0,27033188,3934,5862
8,10,0,0,27278878,3884,5952
8,10,0,0,27114736,3949,5876
8,10,0,0,27270108,3941,5912
8,10,0,0,27065831,3851,5910
8,10,0,0,27172245,3856,5948
8,10,0,0,27167390,3919,5906
8,10,0,0,27122665,3950,5865
8,10,0,0,27209461,3900,5900
8,10,0,0,27164393,3902,5897
8,10,0,0,27131184,3880,5906
8,10,0,0,27166848,3945,5892
8,10,0,0,27058528,3896,5878
8,10,0,0,27220108,3907,5905
8,10,0,0,27102455,3942,5885
8,10,0,0,27166458,3956,5879
8,10,0,0,27136316,3979,5851
8,10,0,0,27220594,4004,5878
8,10,0,0,27033482,3990,5846
8,10,0,0,27113559,4060,5822
8,10,0,0,26996417,3986,5832
8,10,0,0,27124101,3902,5894
8,10,0,0,27369383,3860,5964
8,10,0,0,27093955,3907,5892
8,10,0,0,27097937,4002,5849
8,10,0,0,26907355,4065,5792
8,10,0,0,27182826,3925,5889
8,10,0,0,26955380,3965,5840
8,10,0,0,27321682,3880,5955
8,10,0,0,27343117,3882,5928
8,10,0,0,27072770,4011,5852
8,10,0,0,27363526,3963,5933
8,10,0,0,27164393,3902,5897
8,10,0,0,27131184,3880,5906
8,10,0,0,27166848,3945,5892
8,10,0,0,27058528,3896,5878
8,10,0,0,27220108,3907,5905
8,10,0,0,27102455,3942,5885
8,10,0,0,27166458,3956,5879
8,10,0,0,27136316,3979,5851
8,10,0,0,27220594,4004,5878
8,10,0,0,27033482,3990,5846
8,10,0,0,27113559,4060,5822
8,10,0,0,26996417,3986,5832
8,10,0,0,27124101,3902,5894
8,10,0,0,27369383,3860,5964
8,10,0,0,27093955,3907,5892
8,10,0,0,27097937,4002,5849
8,10,0,0,26907355,4065,5792
8,10,0,0,27182826,3925,5889
8,10,0,0,26955380,3965,5840
8,10,0,0,27321682,3880,5955
8,10,0,0,27343117,3882,5928
8,10,0,0,27072770,4011,5852
8,10,0,0,27363526,3963,5933
8,10,0,0,27160868,3905,5907
8,10,0,0,27033188,3934,5862
8,10,0,0,27278878,3884,5952
8,10,0,0,27114736,3949,5876
8,10,0,0,27270108,3941,5912
8,10,0,0,27065831,3851,5910
8,10,0,0,27172245,3856,5948
8,10,0,0,27167390,3919,5906
8,10,0,0,27122665,3950,5865
8,10,0,0,27209461,3900,5900
8,10,0,0,27164393,3902,5897
8,10,0,0,27131184,3880,5906
8,10,0,0,27166848,3945,5892
8,10,0,0,27058528,3896,5878
8,10,0,0,27220108,3907,5905
8,10,0,0,27102455,3942,5885
8,10,0,0,27166458,3956,5879
8,10,0,0,27136316,3979,5851
8,10,0,0,27220594,4004,5878
8,10,0,0,27033482,3990,5846
8,10,0,0,27113559,4060,5822
8,10,0,0,26996417,3986,5832
8,10,0,0,27124101,3902,5894
8,10,0,0,27369383,3860,5964
8,10,0,0,27093955,3907,5892
8,10,0,0,27097937,4002,5849
8,10,0,0,26907355,4065,5792
8,10,0,0,27182826,3925,5889
8,10,0,0,26955380,3965,5840
8,10,0,0,27321682,3880,5955
8,10,0,0,27343117,3882,5928
8,10,0,0,27072770,4011,5852
8,10,0,0,27363526,3963,5933
,,,,,,
8,10,0,0,27147859.25,3941.1964285714,5884.9285714286
