Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,13,0,0,27836958,3960,6039
8,13,0,0,27827610,3874,6094
8,13,9996,27579169,27599390,4017,5985
8,13,0,0,27377394,4017,5936
8,13,0,0,27621478,3938,6026
8,13,0,0,27661524,3999,6004
8,13,0,0,27528233,4037,5956
8,13,9997,27217647,27221502,4133,5868
8,13,9999,27469381,27500468,4089,5914
8,13,9994,27446584,27456513,4058,5943
8,13,0,0,27836958,3960,6039
8,13,0,0,27827610,3874,6094
8,13,9996,27579169,27599390,4017,5985
8,13,0,0,27377394,4017,5936
8,13,0,0,27621478,3938,6026
8,13,0,0,27661524,3999,6004
8,13,0,0,27528233,4037,5956
8,13,9997,27217647,27221502,4133,5868
8,13,9999,27469381,27500468,4089,5914
8,13,9994,27446584,27456513,4058,5943
8,13,0,0,27836958,3960,6039
8,13,0,0,27827610,3874,6094
8,13,9996,27579169,27599390,4017,5985
8,13,0,0,27377394,4017,5936
8,13,0,0,27621478,3938,6026
8,13,0,0,27661524,3999,6004
8,13,0,0,27528233,4037,5956
8,13,9997,27217647,27221502,4133,5868
8,13,9999,27469381,27500468,4089,5914
8,13,9994,27446584,27456513,4058,5943
