Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Total nodes
8,15,9993,27571072,27582608,3996,6005,10001
8,15,9993,27713550,27746907,3970,6031,10001
8,15,9994,27608289,27625222,3981,6020,10001
8,15,9994,27505832,27524844,4014,5987,10001
8,15,9997,27631233,27644918,3994,6007,10001
8,15,9996,27701992,27722840,4028,5974,10002
8,15,9998,27683717,27693148,3979,6024,10003
8,15,9991,27688017,27709095,4008,5993,10001
8,15,9999,27529960,27555952,4044,5962,10006
8,15,9994,27491300,27510827,4066,5935,10001
8,15,9997,27654907,27674692,3986,6015,10001
8,15,9996,27793172,27801090,3957,6044,10001
8,15,9996,27765437,27779464,3993,6009,10002
8,15,10000,27729262,27736381,3995,6006,10001
8,15,9994,27779816,27809440,3977,6024,10001
8,15,9994,27514152,27536916,4045,5956,10001
8,15,9996,27578242,27590320,4021,5980,10001
8,15,9992,27758543,27778691,3996,6005,10001
8,15,10001,27721008,27722857,3997,6007,10004
8,15,9999,27658347,27680862,4002,6003,10005
8,15,9996,27544359,27558278,4028,5975,10003
8,15,9995,27623373,27645658,4026,5978,10004
8,15,9999,27560566,27566351,4033,5968,10001
8,15,9993,27725887,27754587,3973,6028,10001
8,15,9996,27778237,27803603,3947,6054,10001
8,15,9998,27751202,27768427,3936,6069,10005
8,15,9995,27592089,27601016,3991,6010,10001
8,15,10001,27537491,27548730,4023,5980,10003
8,15,9997,27686826,27693049,3986,6015,10001
8,15,9996,27777417,27791999,3934,6067,10001
8,15,9991,27634348,27670110,4029,5972,10001
8,15,9996,27553861,27575832,4038,5966,10004
8,15,9995,27589034,27612368,4010,5992,10002
8,15,9996,27452078,27471504,4084,5917,10001
8,15,9993,27471024,27490806,4073,5928,10001
8,15,9993,27620453,27642362,4019,5982,10001
8,15,9993,27851235,27871826,3923,6079,10002
8,15,9995,27837698,27860470,3918,6085,10003
8,15,9996,27708808,27731324,3967,6036,10003
8,15,9993,27772319,27793197,3983,6018,10001
8,15,9993,27556891,27570798,4000,6001,10001
8,15,9997,27587193,27606224,4018,5985,10003
8,15,9995,27615200,27625674,4039,5962,10001
8,15,9999,27661765,27673279,3990,6012,10002
8,15,9994,27648321,27674432,4008,5993,10001
8,15,9995,27615586,27647643,4017,5984,10001
8,15,9998,27516051,27532131,4028,5975,10003
8,15,9994,27499244,27516358,4052,5951,10003
8,15,10000,27327353,27338185,4078,5924,10002
8,15,9995,27621656,27664776,3939,6064,10003
8,15,9997,28000402,28012864,3876,6127,10003
8,15,9996,27946327,27993287,3882,6121,10003
8,15,10000,27817272,27818064,3963,6039,10002
8,15,9996,27747261,27776316,3961,6041,10002
8,15,10000,27676604,27679992,3981,6020,10001
8,15,9994,27631354,27657152,4005,5997,10002
8,15,9995,27661335,27683563,4025,5976,10001
8,15,9995,27685898,27704055,4031,5970,10001
8,15,9994,27578837,27606111,4040,5962,10002
8,15,9996,27551548,27578333,4027,5975,10002
8,15,9996,27639436,27651941,4059,5943,10002
8,15,9999,27603864,27620076,4004,6000,10004
8,15,9992,27758543,27778691,3996,6005,10001
8,15,10001,27721008,27722857,3997,6007,10004
8,15,9999,27658347,27680862,4002,6003,10005
8,15,9996,27544359,27558278,4028,5975,10003
8,15,9995,27623373,27645658,4026,5978,10004
8,15,9999,27560566,27566351,4033,5968,10001
8,15,9993,27725887,27754587,3973,6028,10001
8,15,9996,27778237,27803603,3947,6054,10001
8,15,9998,27751202,27768427,3936,6069,10005
8,15,9995,27592089,27601016,3991,6010,10001
8,15,10001,27537491,27548730,4023,5980,10003
8,15,9997,27686826,27693049,3986,6015,10001
8,15,9996,27777417,27791999,3934,6067,10001
8,15,9991,27634348,27670110,4029,5972,10001
8,15,9996,27553861,27575832,4038,5966,10004
8,15,9995,27589034,27612368,4010,5992,10002
8,15,9996,27452078,27471504,4084,5917,10001
8,15,9993,27471024,27490806,4073,5928,10001
8,15,9993,27620453,27642362,4019,5982,10001
8,15,9993,27851235,27871826,3923,6079,10002
8,15,9995,27837698,27860470,3918,6085,10003
8,15,9996,27708808,27731324,3967,6036,10003
8,15,9993,27772319,27793197,3983,6018,10001
8,15,9993,27556891,27570798,4000,6001,10001
8,15,9997,27587193,27606224,4018,5985,10003
8,15,9995,27615200,27625674,4039,5962,10001
8,15,9999,27661765,27673279,3990,6012,10002
8,15,9994,27648321,27674432,4008,5993,10001
8,15,9995,27615586,27647643,4017,5984,10001
8,15,9998,27516051,27532131,4028,5975,10003
8,15,9994,27499244,27516358,4052,5951,10003
8,15,10000,27327353,27338185,4078,5924,10002
8,15,9995,27621656,27664776,3939,6064,10003
8,15,9997,28000402,28012864,3876,6127,10003
8,15,9996,27946327,27993287,3882,6121,10003
8,15,10000,27817272,27818064,3963,6039,10002
8,15,9996,27747261,27776316,3961,6041,10002
8,15,10000,27676604,27679992,3981,6020,10001
,,,,,,,
8,15,9995.87,27653788.8,27672737.55,3997.41,6004.61,
