Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,15,0,120000,27,74,
20,100,15,0,120000,27,74,
20,100,18,0,120000,27,75,
20,100,19,0,117196,30,72,
20,100,18,0,120000,27,75,
20,100,18,0,120000,27,75,
20,100,19,0,113893,23,78,
20,100,11,0,113489,29,74,
20,100,11,0,101574,31,70,
20,100,19,0,120000,24,79,
20,100,15,0,120000,30,73,
20,100,11,0,124802,28,73,
20,100,15,0,120000,30,73,
20,100,13,0,105373,35,66,
20,100,17,0,120000,23,79,
20,100,15,0,129612,29,72,
20,100,11,0,120000,26,75,
20,100,15,0,120918,26,77,
20,100,19,0,120000,23,79,
20,100,13,0,120000,21,80,
20,100,11,0,120000,27,74,
20,100,18,0,118216,32,71,
20,100,13,0,112459,31,71,
20,100,11,0,120000,23,78,
20,100,17,0,120000,23,79,
20,100,17,0,120000,23,79,
20,100,17,0,120000,23,79,
20,100,19,0,120000,26,75,
20,100,19,0,120000,26,75,
20,100,12,0,120000,30,71,
20,100,18,0,116621,31,73,
20,100,9,0,109203,30,71,
20,100,11,0,120000,23,78,
20,100,11,0,120000,23,78,
20,100,16,0,120000,23,78,
20,100,11,0,108880,30,71,
20,100,16,0,120000,26,75,
20,100,16,0,120000,26,75,
20,100,17,0,120000,32,71,
20,100,19,0,120000,32,69,
20,100,17,0,120000,26,77,
20,100,18,0,122607,34,67,
20,100,11,0,108596,35,66,
20,100,17,0,121929,22,82,
20,100,13,0,120000,19,82,
20,100,18,0,120000,27,75,
20,100,18,0,120000,27,75,
20,100,16,0,120000,24,78,
20,100,16,0,120000,24,78,
20,100,12,0,120000,30,71,
20,100,12,0,109940,37,64,
20,100,15,0,119388,28,74,
20,100,14,0,115894,33,69,
20,100,8,0,120000,25,76,
20,100,16,0,118240,33,69,
20,100,13,0,120000,25,76,
20,100,15,0,123010,26,77,
20,100,12,0,103586,30,71,
20,100,13,0,101712,35,67,
20,100,9,0,120571,19,82,
20,100,13,0,120000,25,76,
20,100,13,0,120000,25,76,
20,100,17,0,120000,29,72,
20,100,19,0,120000,27,74,
20,100,16,0,120000,20,81,
20,100,16,0,120000,20,81,
20,100,16,0,120000,20,81,
20,100,15,0,120000,25,77,
20,100,19,0,120000,23,79,
20,100,17,0,120000,25,77,
20,100,17,0,120000,25,77,
20,100,19,0,118582,28,73,
20,100,12,0,120000,25,76,
20,100,12,0,120000,25,76,
20,100,12,0,120000,25,76,
20,100,15,0,104992,37,65,
20,100,17,0,108316,27,74,
20,100,16,0,120000,24,79,
20,100,18,0,124165,20,84,
20,100,16,0,120791,21,83,
20,100,18,0,136695,24,77,
20,100,17,0,114847,28,73,
20,100,16,0,113181,30,74,
20,100,19,0,121660,24,77,
20,100,14,0,120000,26,75,
20,100,19,0,114177,34,69,
20,100,19,0,125990,18,84,
20,100,14,0,120000,26,76,
20,100,14,0,120000,26,76,
20,100,14,0,115347,31,72,
20,100,18,0,120000,21,80,
20,100,19,0,120000,27,75,
20,100,19,0,120000,27,75,
20,100,19,0,120000,27,75,
20,100,19,0,120000,27,75,
20,100,12,0,120000,30,71,
20,100,12,0,120000,30,71,
20,100,19,0,106002,30,73,
20,100,17,0,116117,32,71,
20,100,16,0,120000,28,74,
20,100,13,0,120000,23,78,
20,100,15,0,120000,26,75,
20,100,15,0,120000,26,75,
20,100,15,0,120000,26,75,
20,100,15,0,120000,26,75,
20,100,15,0,120000,24,77,
20,100,14,0,120000,20,81,
20,100,14,0,120000,22,80,
20,100,15,0,120000,24,77,
20,100,15,0,120000,24,77,
20,100,14,0,120000,22,80,
20,100,14,0,120000,22,80,
20,100,14,0,120000,22,80,
20,100,15,0,120000,20,81,
20,100,18,0,120000,23,78,
20,100,15,0,120000,28,73,
20,100,17,0,120000,24,77,
20,100,17,0,120000,24,77,
20,100,14,0,115382,28,74,
20,100,10,0,120000,23,78,
20,100,10,0,120000,23,78,
20,100,10,0,120000,23,78,
20,100,12,0,120000,29,73,
20,100,15,0,120000,29,73,
20,100,15,0,120000,29,73,
20,100,18,0,122888,27,75,
20,100,10,0,124520,22,79,
20,100,16,0,117276,26,76,
20,100,14,0,120000,20,81,
20,100,14,0,120000,20,81,
20,100,12,0,118503,23,78,
20,100,17,0,110410,31,72,
20,100,16,0,120000,24,77,
20,100,16,0,120000,24,77,
20,100,16,0,120000,24,77,
20,100,17,0,123539,24,77,
20,100,10,0,120000,22,80,
20,100,13,0,118904,26,75,
20,100,18,0,120000,24,77,
20,100,18,0,120000,24,77,
20,100,17,0,120000,27,75,
20,100,20,500,120000,29,73,
20,100,20,500,120000,29,73,
20,100,20,501,104318,34,67,
20,100,20,537,120000,23,78,
20,100,20,552,107575,34,68,
20,100,20,577,122349,29,72,
20,100,20,659,120000,25,79,
20,100,20,681,108339,34,69,
20,100,20,752,118584,27,76,
20,100,20,825,114753,31,71,
20,100,20,915,118663,27,77,
20,100,20,1026,120000,26,75,
20,100,20,1026,120000,26,75,
20,100,21,1438,128604,23,80,
20,100,20,1871,120589,28,74,
20,100,20,2102,120000,22,80,
20,100,20,2335,116868,28,74,
20,100,21,2496,120846,21,80,
20,100,21,2516,120000,25,76,
20,100,22,2931,120000,25,78,
20,100,21,3013,120000,28,74,
20,100,21,3013,120000,28,74,
20,100,20,3403,115382,33,70,
20,100,22,3550,120000,23,79,
20,100,22,3550,120000,23,79,
20,100,20,3589,130604,24,77,
20,100,20,3694,120000,23,81,
20,100,20,3694,120000,23,81,
20,100,20,3694,120000,23,81,
20,100,23,3994,117931,29,74,
20,100,20,5215,120000,27,75,
20,100,20,5215,120000,27,75,
20,100,20,5397,121151,25,77,
20,100,22,5916,110112,32,72,
20,100,22,6210,120000,25,77,
20,100,22,6210,120000,25,77,
20,100,22,6210,120000,25,77,
20,100,22,7284,112219,28,73,
20,100,23,7506,112274,27,77,
20,100,21,7531,120000,33,70,
20,100,21,8193,141131,20,82,
20,100,22,10327,120000,24,77,
20,100,22,10327,120000,24,77,
20,100,22,11068,120000,29,73,
20,100,22,11068,120000,29,73,
20,100,22,11068,120000,29,73,
20,100,23,11856,121964,20,81,
20,100,22,13249,120000,25,77,
20,100,21,13349,111074,28,74,
20,100,21,14322,120000,27,74,
20,100,23,14441,120000,22,80,
20,100,23,14441,120000,22,80,
20,100,22,14851,120000,24,78,
