Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
100,100,1635,343490,2187130,4039,5964
100,100,1677,359272,2214663,3966,6036
100,100,1642,349303,2212284,3958,6043
100,100,1672,350993,2201708,3982,6019
100,100,1659,350979,2204934,3981,6020
100,100,1655,349172,2199038,4001,6002
100,100,1682,361595,2194910,4050,5952
100,100,1649,349820,2187510,4066,5935
100,100,1649,349820,2187510,4066,5935
100,100,1721,365978,2167208,4146,5855
100,100,1718,365207,2206758,3962,6042
100,100,1712,358019,2191268,4039,5962
100,100,1622,349584,2190282,4040,5962
100,100,1669,350059,2197316,4008,5993
100,100,1670,353573,2208042,3978,6023
100,100,1634,345639,2194065,4047,5955
100,100,1684,364085,2201780,4038,5965
100,100,1651,346876,2187260,4079,5922
100,100,1715,365462,2192014,4059,5942
100,100,1738,374396,2196991,3957,6044
100,100,1801,388998,2189017,4027,5974
100,100,1749,369878,2218111,3948,6053
100,100,1574,333618,2205323,3982,6020
100,100,1652,347700,2194681,4013,5988
100,100,1680,359038,2207112,3960,6042
100,100,1675,357358,2184678,4054,5947
100,100,1733,368619,2212404,3914,6087
100,100,1755,378250,2190129,4020,5981
100,100,1801,392862,2206384,3958,6045
100,100,1711,360738,2189051,3995,6008
100,100,1820,393311,2202033,4000,6001
100,100,1577,333875,2187552,4034,5967
100,100,1556,318967,2215954,4004,5997
100,100,1585,334692,2196695,4004,5997
100,100,1659,346535,2190867,4004,5999
100,100,1699,364364,2197108,4034,5967
100,100,1718,368180,2189143,4017,5984
100,100,1693,365708,2198785,4020,5981
100,100,1710,362951,2195312,4012,5989
100,100,1678,358205,2204683,3987,6015
100,100,1742,372729,2199130,4026,5975
100,100,1618,335456,2193239,4050,5951
100,100,1569,331115,2200309,3986,6015
100,100,1721,376555,2208414,4009,5994
100,100,1709,364418,2200621,3987,6014
100,100,1686,359428,2214957,3913,6088
100,100,1748,379202,2195561,4019,5982
100,100,1619,345436,2208026,3984,6018
100,100,1805,392179,2206285,3939,6062
100,100,1600,342171,2206717,3985,6016
100,100,1623,345988,2208104,3995,6007
100,100,1686,362777,2192616,4033,5968
100,100,1616,341454,2193712,4022,5980
100,100,1737,372592,2207213,4000,6001
100,100,1666,351233,2196676,4003,5998
100,100,1821,391326,2205302,3983,6018
100,100,1783,382867,2191722,4032,5969
100,100,1724,364316,2196367,4021,5980
100,100,1678,362131,2193318,4016,5985
100,100,1672,355116,2186532,4063,5939
100,100,1640,355030,2201000,3982,6019
100,100,1691,361338,2196053,4041,5960
100,100,1753,377670,2195173,4065,5937
100,100,1709,371012,2187002,4064,5937
100,100,1715,370287,2214283,3967,6034
100,100,1746,373951,2205378,3969,6032
100,100,1796,388000,2209841,3968,6034
100,100,1708,361610,2177305,4120,5881
100,100,1724,368425,2209235,3949,6053
100,100,1745,376310,2203566,3978,6025
100,100,1696,357946,2207093,3973,6029
100,100,1459,298012,2184706,4028,5973
100,100,1630,338675,2189510,4044,5957
100,100,1604,339989,2212321,3916,6085
100,100,1685,363836,2210365,3950,6051
100,100,1741,383582,2207196,3950,6051
100,100,1740,372959,2193196,4041,5961
100,100,1774,384197,2194489,4019,5982
100,100,1730,369355,2194959,4069,5933
100,100,1815,396744,2199352,4014,5988
100,100,1588,337701,2202858,3986,6015
100,100,1615,345590,2209406,3960,6041
100,100,1573,334348,2211671,3981,6021
100,100,1518,309264,2179647,4094,5908
100,100,1665,355449,2199538,4004,5997
100,100,1643,350215,2197955,4006,5995
100,100,1665,353986,2201467,3998,6004
100,100,1665,348402,2207688,3945,6057
100,100,1679,361466,2207046,4013,5988
100,100,1647,345987,2176151,4097,5905
100,100,1612,337767,2191572,4065,5937
100,100,1654,348709,2216589,3946,6058
100,100,1693,365378,2199843,4009,5992
100,100,1604,331225,2191622,4047,5955
100,100,1712,366454,2203302,3983,6019
100,100,1747,380313,2219549,3918,6084
100,100,1738,366576,2191425,4017,5984
100,100,1766,380214,2190901,4032,5970
100,100,1816,392853,2218575,3926,6075
100,100,1893,403574,2184041,4042,5960
,,,,,,
100,100,1686.97,359600.57,2198953.83,4006.91,5994.6
