Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
1,,10,11124708,11215938,190,312
1,,10,10818697,11088220,206,295
1,,10,11140111,11298494,192,309
1,,10,11018493,11199972,207,294
1,,10,11023313,11056936,196,305
1,,10,10327829,10731799,221,280
1,,10,10622708,10630763,222,281
1,,10,10798129,10859788,200,301
1,,10,11030477,11125400,191,311
1,,10,10645389,10713160,222,279
1,,10,11164274,11460091,199,303
1,,10,11060401,11135894,210,292
1,,10,10190957,10790742,221,280
1,,10,11072249,11232417,194,307
1,,10,10611041,10662098,218,285
1,,10,11346040,11419768,182,321
1,,10,11039832,11162738,207,294
1,,10,10874701,10976566,207,294
1,,10,10736823,10908881,195,308
1,,10,10907143,11028861,201,301
1,,10,11029526,11067553,210,293
1,,10,10947898,10966416,208,294
1,,10,10715579,10776882,205,296
1,,10,10724942,10851211,214,288
1,,10,10941259,10981628,197,304
1,,10,10809117,10973651,214,290
1,,10,11113725,11124833,201,301
1,,10,10907268,11026733,195,306
1,,10,10848878,11092232,213,289
1,,10,10955311,11056695,197,306
1,,10,10903718,11047813,206,295
1,,10,10632613,10920586,214,287
1,,10,10788221,11097785,197,304
1,,10,10797126,10884531,206,295
1,,10,10750342,10883235,215,286
1,,10,10981402,10999105,197,306
1,,10,11079884,11197987,189,312
1,,10,10955537,11070537,195,307
1,,10,11054238,11163751,202,299
1,,10,11258904,11382568,192,309
1,,10,11208699,11371439,187,314
1,,10,11218300,11234398,188,313
1,,10,11005027,11023524,204,297
1,,10,10984966,11095638,209,292
1,,10,11062685,11191031,195,306
1,,10,11304873,11510027,196,305
1,,10,10908234,11106608,196,305
1,,10,11133563,11275774,202,300
1,,10,11038741,11113273,199,302
1,,10,11109024,11173022,193,309
1,,10,11188784,11212377,212,290
1,,10,11074953,11324274,196,305
1,,10,11034894,11126678,200,301
1,,10,11084493,11403576,191,310
1,,10,11152289,11182836,198,303
1,,10,11035193,11175299,196,305
1,,10,11189367,11284039,193,309
1,,10,11115973,11268316,188,314
1,,10,11169502,11310460,192,309
1,,10,11321351,11391561,191,310
1,,10,11042557,11102409,210,291
1,,10,11244788,11320206,195,306
1,,10,11179716,11238857,203,299
1,,10,11361151,11372295,192,309
1,,10,11276260,11578999,203,298
1,,10,11171947,11402534,193,308
1,,10,11218429,11330435,198,303
1,,10,11248515,11454836,188,313
1,,10,11328012,11399673,190,311
1,,10,11550924,11626030,178,323
1,,10,11552820,11670440,188,313
1,,10,11527017,11553004,180,322
1,,10,11504121,11637042,185,318
1,,10,11370321,11425426,199,304
1,,10,11009664,11031043,206,298
1,,10,10704642,10803658,209,293
1,,10,11071041,11203833,198,304
1,,10,10139372,10865458,214,287
1,,10,11089480,11272769,202,301
1,,10,10380667,10579170,218,283
1,,10,10879351,10914244,213,290
1,,10,10704977,10818605,219,284
1,,10,10834476,10994939,206,295
1,,10,11313994,11511024,182,319
1,,10,10920279,11071047,205,296
1,,10,9451061,10767174,218,283
1,,10,10925749,11034753,206,296
1,,10,10552397,10933314,213,288
1,,10,10941075,11317564,208,294
1,,10,11195839,11324975,197,305
1,,10,11534946,11633522,187,314
1,,10,10706589,11330837,196,305
,,,,,,
AVERAGE,,,,,,
1,,10,10989368.3804348,11147375.25,200.7934782609,300.7717391304
