Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
80,,5,15717,18694,44,57
80,,5,15073,18652,43,59
80,,5,14975,15872,45,56
80,,5,14632,15219,45,57
80,,5,14118,15363,39,62
80,,5,14040,15935,45,56
80,,5,13886,15300,41,61
80,,5,13528,14905,41,61
80,,5,13301,14705,49,52
80,,5,12946,21295,46,57
80,,5,12904,13734,42,60
80,,5,12791,15867,46,55
80,,5,12629,12939,49,52
80,,5,12595,13742,45,56
80,,5,12594,14241,44,57
80,,5,12448,14033,51,51
80,,5,11917,14124,46,55
80,,5,11704,12231,44,57
80,,5,11581,13064,44,57
80,,5,11310,13944,46,55
80,,5,11302,12880,43,59
80,,5,11292,12216,46,56
80,,5,11290,14643,43,59
80,,5,11229,13196,44,58
80,,5,11153,12507,45,56
80,,5,11053,11764,44,58
80,,5,10991,12663,43,58
80,,5,10947,11285,43,58
80,,5,10945,15920,46,56
80,,5,10827,11585,50,51
80,,5,10778,11631,46,56
80,,5,10756,11017,51,50
80,,5,10710,15807,42,59
80,,5,10687,11398,42,60
80,,5,10564,11040,45,56
80,,5,10540,11006,41,60
80,,5,10514,11736,49,53
80,,5,10513,12062,44,57
80,,5,10493,11335,44,57
80,,5,10436,19600,44,57
80,,5,10400,10602,47,54
80,,5,10400,12457,51,50
80,,5,10083,16547,41,60
80,,5,10052,11282,50,51
80,,5,9985,11722,45,57
80,,5,9955,10270,45,57
80,,5,9944,12990,49,53
80,,5,9907,10091,40,61
80,,5,9801,11131,47,55
80,,5,9716,10431,46,55
80,,5,9650,10600,48,53
80,,5,9598,10046,41,60
80,,5,9569,13549,42,59
80,,5,9567,11043,44,57
80,,5,9562,10261,47,54
80,,5,9560,16439,50,52
80,,5,9469,12961,47,54
80,,5,9461,11216,50,52
80,,5,9441,11431,44,58
80,,5,9412,12696,46,55
80,,5,9408,9459,41,62
80,,5,9372,11248,49,52
80,,5,9328,10724,49,52
80,,5,9280,10156,55,46
80,,5,9275,11217,42,59
80,,5,9253,11168,50,51
80,,5,9248,10241,39,62
80,,5,9086,13914,41,60
80,,5,9076,10613,50,52
80,,5,9070,9359,48,54
80,,5,9000,13832,47,55
80,,5,8950,10587,47,54
80,,5,8917,10649,40,61
80,,5,8913,10284,49,52
80,,5,8816,9667,50,52
80,,5,8791,9509,47,55
80,,5,8762,10772,49,53
80,,5,8760,13269,43,58
80,,5,8717,10181,47,54
80,,5,8679,9012,44,57
80,,5,8641,8746,47,55
80,,5,8601,15841,47,54
80,,5,8585,8819,48,53
80,,5,8584,12012,48,54
80,,5,8543,9130,49,52
80,,5,8543,12013,42,60
80,,5,8517,9719,49,53
80,,5,8497,10740,45,56
80,,5,8496,10731,48,53
80,,5,8470,8966,46,55
80,,5,8465,11246,46,55
80,,5,8459,12948,40,61
80,,5,8402,9900,51,51
80,,5,8357,8935,45,56
80,,5,8331,10177,43,59
80,,5,8311,9527,48,53
80,,5,8260,9777,44,58
80,,5,8159,8783,48,54
80,,5,8091,9261,51,51
80,,5,8058,10608,44,58
80,,5,8003,8595,48,53
80,,5,7933,8172,48,53
80,,5,7893,10192,47,54
80,,5,7864,8491,49,52
80,,5,7859,11362,42,60
80,,5,7827,11340,42,59
80,,5,7825,8279,43,58
80,,5,7815,10466,44,57
80,,5,7764,10702,39,62
80,,5,7751,9417,48,54
80,,5,7730,8584,52,50
80,,5,7726,9293,49,53
80,,5,7664,8165,43,58
80,,5,7657,8976,48,55
80,,5,7640,11088,41,60
80,,5,7617,10302,41,60
80,,5,7602,8307,46,56
80,,5,7552,8644,44,57
80,,5,7546,8462,50,52
80,,5,7546,12208,49,52
80,,5,7490,9678,46,57
80,,5,7482,14927,41,60
80,,5,7482,8276,44,57
80,,5,7481,7927,44,57
80,,5,7481,11272,45,56
80,,5,7481,9244,53,49
80,,5,7456,7917,51,50
80,,5,7391,8036,47,55
80,,5,7388,10173,50,52
80,,5,7369,13040,47,54
80,,5,7358,9069,41,60
80,,5,7354,13621,42,59
80,,5,7326,8329,47,55
80,,5,7298,8723,45,56
80,,5,7296,9302,44,57
80,,5,7290,8721,43,58
80,,5,7283,10633,49,53
80,,5,7268,10056,52,49
80,,5,7203,9734,42,59
80,,5,7184,7576,51,50
80,,5,7155,9026,46,56
80,,5,7127,13864,46,55
80,,5,7094,10704,44,58
80,,5,7071,7856,49,52
80,,5,7046,9908,47,54
80,,5,7002,7649,50,51
80,,5,6992,7052,49,52
80,,5,6989,7905,45,56
80,,5,6983,7589,51,50
80,,5,6977,9764,50,52
80,,5,6969,9349,50,52
80,,5,6966,8460,49,52
80,,5,6959,7540,51,51
80,,5,6936,7774,53,49
80,,5,6903,12586,45,56
80,,5,6897,8051,44,58
80,,5,6874,7157,43,58
80,,5,6863,8500,45,56
80,,5,6842,10209,47,54
80,,5,6841,8306,45,56
80,,5,6756,6839,44,57
80,,5,6741,8348,51,50
80,,5,6731,8374,45,56
80,,5,6700,9099,42,59
80,,5,6672,10531,43,58
80,,5,6654,10307,46,56
80,,5,6653,10157,49,52
80,,5,6628,8040,52,49
80,,5,6620,6823,48,53
80,,5,6607,6970,50,51
80,,5,6603,8129,51,51
80,,5,6580,6779,51,50
80,,5,6576,7421,48,53
80,,5,6565,7900,52,49
80,,5,6561,9756,45,56
80,,5,6552,8354,49,52
80,,5,6524,7472,44,57
80,,5,6497,8146,53,49
80,,5,6489,11571,52,50
80,,5,6468,6613,55,46
80,,5,6455,9346,45,56
80,,5,6438,10793,48,53
80,,5,6431,7934,57,45
80,,5,6413,6721,51,51
80,,5,6390,9757,52,49
80,,5,6387,8042,53,48
80,,5,6356,7560,49,52
80,,5,6350,7358,60,42
80,,5,6346,6444,52,49
80,,5,6342,6998,49,52
80,,5,6340,6975,49,52
80,,5,6333,7889,52,49
80,,5,6332,8963,52,49
80,,5,6328,6517,48,54
80,,5,6325,6908,48,53
