Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,100,60000,276540,39,63
8,,100,30000,280236,37,64
8,,100,19456,241458,48,54
8,,100,30000,283060,40,63
8,,100,31353,251400,43,59
8,,100,30000,244692,46,56
8,,100,3524,257592,48,53
8,,100,30000,265687,45,57
8,,100,60000,291914,38,64
8,,100,17173,247562,52,50
8,,100,17684,285753,38,64
8,,100,30000,260046,50,51
8,,100,30000,280188,41,61
8,,100,30000,288034,38,64
8,,100,30000,274840,38,64
8,,100,30000,259069,43,59
8,,100,26480,272126,45,57
8,,100,30000,271292,41,60
8,,100,44194,287799,36,67
8,,100,37085,264494,43,59
8,,100,1156,238666,51,50
8,,100,0,267433,46,55
8,,100,35838,293472,37,65
8,,100,30000,249752,45,57
8,,100,2389,258574,41,60
8,,100,7420,261544,45,56
8,,100,785,257679,46,55
8,,100,6474,261762,43,58
8,,100,30000,251466,47,55
8,,100,8375,308239,44,58
8,,100,30000,289241,39,64
8,,100,30000,249983,50,52
8,,100,6062,277347,34,68
8,,100,991,252501,48,53
8,,100,21390,253149,47,54
8,,100,30608,266409,41,60
8,,100,30000,233213,55,46
8,,100,15099,255612,44,58
8,,100,50371,268310,39,62
8,,100,22011,269303,41,60
8,,100,32073,265149,43,58
8,,100,0,253007,43,58
8,,100,23037,288387,35,66
8,,100,3677,255785,48,54
8,,100,74045,295988,38,67
8,,100,0,276211,38,63
8,,100,60000,276677,41,63
8,,100,30000,271653,41,61
8,,100,3765,274627,39,62
8,,100,4408,258516,46,55
8,,100,30587,286923,44,58
8,,100,30000,281024,35,67
8,,100,7598,264279,39,63
8,,100,2072,274749,37,64
8,,100,54887,277329,37,65
8,,100,30000,289138,35,66
8,,100,30000,249097,50,52
8,,100,30000,287680,35,66
8,,100,30000,279191,39,62
8,,100,45207,274255,46,57
8,,100,2066,265402,41,60
8,,100,30000,287916,40,62
8,,100,30000,259590,37,64
8,,100,41242,275892,41,61
8,,100,30000,280424,37,64
8,,100,9505,262922,44,57
8,,100,60566,303826,36,68
8,,100,60000,273463,37,66
8,,100,30000,285362,34,67
8,,100,30000,269421,41,61
8,,100,30000,300564,34,69
8,,100,30000,282245,36,65
8,,100,60000,257780,45,56
8,,100,30000,282094,37,64
8,,100,4753,273153,40,61
8,,100,30596,309671,36,66
8,,100,57646,303547,35,69
8,,100,60000,265878,45,56
8,,100,37625,295120,35,67
8,,100,46160,275127,42,61
8,,100,30000,270738,41,61
8,,100,60000,260924,43,59
8,,100,60000,302642,32,71
8,,100,60000,274854,45,56
8,,100,30000,284461,36,68
8,,100,33775,276592,44,58
8,,100,30000,254765,42,60
8,,100,59368,308694,28,75
8,,100,34755,293970,40,62
8,,100,30000,321975,34,69
8,,100,59028,306135,26,75
8,,100,30961,290988,37,66
8,,100,55047,304525,32,69
8,,100,25517,297060,41,60
8,,100,30000,286351,37,64
8,,100,8998,288115,36,65
8,,100,30000,302905,32,71
8,,100,30000,290982,41,62
8,,100,30000,284231,42,59
,,,,,,
AVERAGE,,,,,,
8,,100,29645.2727272727,275125.313131313,40.6363636364,61.1717171717
