Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,100,117,294709,2751966,405,596
8,100,124,313334,2702441,419,582
8,100,129,349346,2771611,399,603
8,100,121,310517,2682739,423,580
8,100,123,320036,2774360,400,601
8,100,144,397486,2760793,395,606
8,100,143,391846,2788321,399,602
8,100,135,372131,2770740,396,606
8,100,127,343172,2747380,408,593
8,100,128,336611,2788767,402,602
8,100,125,317546,2717700,424,577
8,100,114,305400,2753603,410,592
8,100,131,370936,2793489,391,610
8,100,138,388983,2773402,396,605
8,100,127,345084,2789685,400,602
8,100,107,281788,2737170,406,595
8,100,150,440613,2784334,407,596
8,100,127,341471,2733414,412,589
8,100,140,371343,2673971,429,573
8,100,139,391158,2870100,358,645
8,100,113,304309,2743817,395,606
8,100,137,371702,2793307,373,628
8,100,138,368810,2745737,416,586
8,100,145,386915,2729326,397,605
8,100,129,349199,2714045,410,591
8,100,131,320809,2765947,399,605
8,100,117,290285,2735788,391,610
8,100,104,256181,2762668,383,618
8,100,144,376090,2750487,401,601
8,100,139,375654,2788000,390,611
8,100,125,318995,2755629,386,615
8,100,100,241521,2698239,425,576
8,100,139,370644,2754574,394,607
8,100,104,271715,2766638,401,600
8,100,158,450229,2779755,398,604
8,100,134,356373,2761480,401,600
8,100,124,330645,2742494,422,580
8,100,122,321550,2763657,400,601
8,100,161,439718,2756444,389,614
8,100,144,403766,2777274,385,617
8,100,126,332334,2799818,394,607
8,100,157,447531,2807972,389,615
8,100,137,371978,2871807,360,643
8,100,160,458615,2770060,420,585
8,100,125,294138,2685304,426,575
8,100,130,348304,2758477,403,598
8,100,138,380787,2769475,402,602
8,100,110,278856,2761075,391,611
8,100,115,280356,2789814,409,593
8,100,140,394378,2773435,398,605
8,100,148,415939,2715074,411,591
8,100,127,325219,2789357,401,600
8,100,149,417863,2823253,382,619
8,100,125,336629,2801203,402,602
8,100,132,329934,2683740,426,575
8,100,133,348753,2709786,412,589
8,100,126,343772,2769752,400,601
8,100,154,443630,2750343,404,597
8,100,126,331559,2813406,384,617
8,100,134,346505,2703083,426,575
8,100,184,535942,2793060,384,617
8,100,135,385163,2791615,381,621
8,100,116,285034,2760716,405,597
8,100,144,380097,2721153,407,596
8,100,138,373118,2747541,411,590
8,100,134,364713,2831338,375,627
8,100,147,404659,2809518,375,627
8,100,165,458095,2794016,400,604
8,100,158,449934,2789805,390,612
8,100,128,330618,2702299,416,587
8,100,138,379769,2789127,390,613
8,100,133,343522,2789404,386,615
8,100,144,381879,2739114,408,595
8,100,149,419899,2855759,367,637
8,100,130,348886,2779071,411,590
8,100,127,334364,2778490,401,603
8,100,153,413284,2734956,401,600
8,100,107,265630,2746708,416,585
8,100,146,396947,2755557,398,603
8,100,131,353960,2687933,420,582
8,100,136,359553,2776391,392,609
8,100,137,360088,2756054,396,607
8,100,104,244321,2755619,405,597
8,100,113,275985,2787554,393,609
8,100,128,329008,2762716,411,592
8,100,118,323867,2775135,409,592
8,100,126,323346,2723548,430,572
8,100,135,359006,2718955,417,585
8,100,140,382687,2736008,417,586
8,100,99,245088,2737294,420,582
8,100,115,294468,2825566,375,626
8,100,138,367184,2883163,357,644
8,100,145,414632,2773745,409,592
8,100,132,364081,2835222,378,623
8,100,138,393175,2888499,368,634
8,100,124,335702,2786056,409,593
8,100,140,372624,2812710,382,622
8,100,133,347685,2712408,420,582
8,100,121,320742,2736731,414,587
8,100,188,581004,2847140,376,626
,,,,,,
8,100,133.06,357154.59,2766252.2,399.95,601.91
