Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,100,1844648,13736602,2013,2989
8,,100,2250087,13778742,2023,2978
8,,100,2129840,13802489,2046,2955
8,,100,2111775,13717542,2033,2968
8,,100,2197339,13834775,1989,3012
8,,100,2280683,13839057,1980,3021
8,,100,2173948,13843893,2009,2995
8,,100,2256577,13732856,2011,2990
8,,100,2365177,13844947,2006,2996
8,,100,2264576,13836079,1974,3029
